Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.002707,-0.0049409,0.15092,0,0,0,1.2772,0.0037769,2.8195E-09,-5.9785E-05,0.0075141,-9.694E-07,0.0059699,0,0,0,0,0,0,package://diablo_plus2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://diablo_plus2/meshes/base_link.STL,,diablo_plus.stp-1/00-zd_asm.stp.stp-1/00_ASM-1.stp.stp-1/00_ASM-2.stp.stp-1/ZD_00-2.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/00_ASM-1.stp.stp-1/00_ASM-2.stp.stp-1/ZD_00-5.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/00_ASM-1.stp.stp-1/00_ASM-2.stp.stp-1/001.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/00_ASM-1.stp.stp-1/00_ASM-2.stp.stp-1/ZD_00.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/00_ASM-1.stp.stp-1/00_ASM-2.stp.stp-1/ZD_00-3.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/00_ASM-1.stp.stp-1/002.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/00_ASM-1.stp.stp-1/00_ASM-2.stp.stp-1/ZD_00-6.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/00_ASM-1.stp.stp-1/10001.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/00_ASM.stp.stp-1/ZD_0001.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/00_ASM.stp.stp-1/ZD_0002.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM.stp.stp-1/1-0001_ASM.stp.stp-1/ZD_20001.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM.stp.stp-1/1-0001_ASM.stp.stp-1/ZD_0004.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM-1.stp.stp-1/1-0002_ASM.stp.stp-1/ZD_20001.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM-1.stp.stp-1/1-0002_ASM.stp.stp-1/ZD_0004.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM-1.stp.stp-1/1-0002_ASM.stp.stp-1/P10-MOTOR.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM-1.stp.stp-1/1-0002_ASM.stp.stp-1/120X150X160001.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM-1.stp.stp-1/1-0002_ASM.stp.stp-1/ZD_0003.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM.stp.stp-1/1-0001_ASM.stp.stp-1/P10-MOTOR.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM.stp.stp-1/1-0001_ASM.stp.stp-1/ZD_0003.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM.stp.stp-1/1-0001_ASM.stp.stp-1/120X150X160001.stp.stp-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip,-0.033875,0.083817,-0.025481,0,0,0,0.30957,0.0008941,-1.8693E-05,-0.00055244,0.0019392,-1.393E-05,0.0011852,0,0,0,0,0,0,package://diablo_plus2/meshes/left_hip.STL,1,1,1,1,0,0,0,0,0,0,package://diablo_plus2/meshes/left_hip.STL,,diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM.stp.stp-1/2-0001_ASM.stp.stp-1/ZD_0006.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM.stp.stp-1/2-0001_ASM.stp.stp-1/ZD_0005.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM.stp.stp-1/2-0001_ASM.stp.stp-1/P10-MOTOR.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM.stp.stp-1/2-0001_ASM.stp.stp-1/ZD_20002.stp.stp-1,left_hip_link,A_left_hip_link,left_hip_joint,revolute,0,0.0428,0.075997,0,0,0,base_link,0,1,0,100,10,-3.14,3.14,,,,,,,,
left_knee,0.085224,-0.0055133,-0.069937,0,0,0,0.15252,0.00027751,-4.6363E-05,0.00039195,0.0010278,2.5611E-05,0.00077428,0,0,0,0,0,0,package://diablo_plus2/meshes/left_knee.STL,1,1,1,1,0,0,0,0,0,0,package://diablo_plus2/meshes/left_knee.STL,,diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM.stp.stp-1/0003_ASM.stp.stp-1/ZD_0007.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM.stp.stp-1/0003_ASM.stp.stp-1/000.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM.stp.stp-1/0003_ASM.stp.stp-1/_0001.stp.stp-1,left_knee_link,A_left_knee_link,left_knee_joint,revolute,-0.15051,0.11148,-0.1317,0,0,0,left_hip,0,1,0,100,10,-3.14,3.14,,,,,,,,
left_wheel,-7.0925E-06,0.017953,1.1379E-05,0,0,0,0.70574,0.0014162,-1.2392E-07,3.6014E-08,0.0027265,1.8327E-07,0.0014162,0,0,0,0,0,0,package://diablo_plus2/meshes/left_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://diablo_plus2/meshes/left_wheel.STL,,diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM.stp.stp-1/M1505A__00_ASM.stp.stp-1/NONE-2733850_1.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM.stp.stp-1/M1505A__00_ASM.stp.stp-1/M1505A_-1-SOLID10001_1.stp.stp-1,left_wheel_link,A_left_wheel_link,left_wheel_joint,revolute,0.16611,0.02266,-0.11138,0,0,0,left_knee,0,1,0,20,30,0,0,,,,,,,,
right_hip,-0.03368,-0.083816,-0.025625,0,0,0,0.30957,0.00089245,1.8716E-05,-0.00055199,0.0019392,1.39E-05,0.0011869,0,0,0,0,0,0,package://diablo_plus2/meshes/right_hip.STL,1,1,1,1,0,0,0,0,0,0,package://diablo_plus2/meshes/right_hip.STL,,diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM-1.stp.stp-1/2-0002_ASM.stp.stp-1/ZD_20002.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM-1.stp.stp-1/2-0002_ASM.stp.stp-1/P10-MOTOR.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM-1.stp.stp-1/2-0002_ASM.stp.stp-1/ZD_0008.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM-1.stp.stp-1/2-0002_ASM.stp.stp-1/ZD_0009.stp.stp-1,right_hip_link,A_right_hip_link,right_hip_joint,revolute,0,-0.0528,0.075997,0,0,0,base_link,0,1,0,100,10,-3.14,3.14,,,,,,,,
right_knee,0.085339,-0.0022639,-0.069432,0,0,0,0.15279,0.00027558,4.6654E-05,0.00039186,0.0010323,-2.5535E-05,0.00078069,0,0,0,0,0,0,package://diablo_plus2/meshes/right_knee.STL,1,1,1,1,0,0,0,0,0,0,package://diablo_plus2/meshes/right_knee.STL,,diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM-1.stp.stp-1/0007_ASM.stp.stp-1/ZD_0010.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM-1.stp.stp-1/0007_ASM.stp.stp-1/000.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM-1.stp.stp-1/0007_ASM.stp.stp-1/_0002.stp.stp-1,right_knee_link,A_right_knee_link,right_knee_joint,revolute,-0.15071,-0.10364,-0.13147,0,0,0,right_hip,0,1,0,100,10,-3.14,3.14,,,,,,,,
right_wheel,-1.1629E-05,-0.017953,-6.6772E-06,0,0,0,0.70574,0.0014162,1.9582E-07,-3.0843E-08,0.0027265,1.0312E-07,0.0014162,0,0,0,0,0,0,package://diablo_plus2/meshes/right_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://diablo_plus2/meshes/right_wheel.STL,,diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM-1.stp.stp-1/M1505A__00_ASM.stp.stp-1/NONE-2733850_1.stp.stp-1;diablo_plus.stp-1/00-zd_asm.stp.stp-1/000-00_ASM-1.stp.stp-1/M1505A__00_ASM.stp.stp-1/M1505A_-1-SOLID10001_1.stp.stp-1,right_wheel_link,A_right_wheel_link,right_wheel_joint,revolute,0.1666,-0.03046,-0.11066,0,0,0,right_knee,0,1,0,20,30,0,0,,,,,,,,
