Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000188101631071298,-0.00241647417177475,0.13474450839536,0,0,0,1.49227394043613,0.00912174281955495,-2.41308349408475E-09,-9.69504628154906E-07,0.00461310720450018,5.78728269947597E-05,0.0083951467772105,0,0,0,0,0,0,package://try_again_robot/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://try_again_robot/meshes/base_link.STL,,00-zd_asm.stp-1/00_ASM-1.stp-1/00_ASM-2.stp-1/ZD_00.stp-1;00-zd_asm.stp-1/00_ASM-1.stp-1/00_ASM-2.stp-1/ZD_00-6.stp-1;00-zd_asm.stp-1/00_ASM-1.stp-1/00_ASM-2.stp-1/ZD_00-3.stp-1;00-zd_asm.stp-1/00_ASM-1.stp-1/00_ASM-2.stp-1/ZD_00-5.stp-1;00-zd_asm.stp-1/00_ASM-1.stp-1/00_ASM-2.stp-1/ZD_00-2.stp-1;00-zd_asm.stp-1/00_ASM-1.stp-1/002.stp-1;00-zd_asm.stp-1/00_ASM-1.stp-1/0011_ASM.stp-1/MID-360-ASM_ASM.stp-1/MID-360_4_ASM_2_ASM.stp-1/MID-360_4_1_1.stp-1;00-zd_asm.stp-1/00_ASM-1.stp-1/0011_ASM.stp-1/MID-360-ASM_ASM.stp-1/MID-000.stp-1;00-zd_asm.stp-1/00_ASM-1.stp-1/00_ASM-2.stp-1/001.stp-1;00-zd_asm.stp-1/00_ASM.stp-1/ZD_0001.stp-1;00-zd_asm.stp-1/00_ASM.stp-1/PBD-M5-10.stp-1;00-zd_asm.stp-1/00_ASM.stp-1/PBD-M5-10.stp-2;00-zd_asm.stp-1/00_ASM.stp-1/PBD-M5-10.stp-3;00-zd_asm.stp-1/00_ASM.stp-1/PBD-M5-10.stp-4;00-zd_asm.stp-1/00_ASM.stp-1/PBD-M5-10.stp-5;00-zd_asm.stp-1/00_ASM.stp-1/PBD-M5-10.stp-6;00-zd_asm.stp-1/00_ASM.stp-1/PBD-M5-10.stp-7;00-zd_asm.stp-1/00_ASM.stp-1/PBD-M5-10.stp-8;00-zd_asm.stp-1/00_ASM.stp-1/ZD_0002.stp-1;00-zd_asm.stp-1/000-00_ASM.stp-1/1-0001_ASM.stp-1/P10-MOTOR.stp-1;00-zd_asm.stp-1/000-00_ASM.stp-1/1-0001_ASM.stp-1/ZD_20001.stp-1;00-zd_asm.stp-1/000-00_ASM.stp-1/1-0001_ASM.stp-1/ZD_0003.stp-1;00-zd_asm.stp-1/000-00_ASM.stp-1/1-0001_ASM.stp-1/120X150X160001.stp-1;00-zd_asm.stp-1/000-00_ASM.stp-1/1-0001_ASM.stp-1/ZD_0004.stp-1;00-zd_asm.stp-1/000-00_ASM.stp-1/1-0001_ASM.stp-1/PBD-M5-10.stp-1;00-zd_asm.stp-1/000-00_ASM.stp-1/1-0001_ASM.stp-1/PBD-M5-10.stp-2;00-zd_asm.stp-1/000-00_ASM.stp-1/1-0001_ASM.stp-1/PBD-M5-10.stp-3;00-zd_asm.stp-1/000-00_ASM.stp-1/1-0001_ASM.stp-1/PBD-M5-10.stp-4;00-zd_asm.stp-1/000-00_ASM-1.stp-1/1-0002_ASM.stp-1/P10-MOTOR.stp-1;00-zd_asm.stp-1/000-00_ASM-1.stp-1/1-0002_ASM.stp-1/ZD_20001.stp-1;00-zd_asm.stp-1/000-00_ASM-1.stp-1/1-0002_ASM.stp-1/120X150X160001.stp-1;00-zd_asm.stp-1/000-00_ASM-1.stp-1/1-0002_ASM.stp-1/ZD_0003.stp-1;00-zd_asm.stp-1/000-00_ASM-1.stp-1/1-0002_ASM.stp-1/ZD_0004.stp-1;00-zd_asm.stp-1/00_ASM-1.stp-1/00_ASM-2.stp-1/ZD_00-4.stp-1;00-zd_asm.stp-1/00_ASM-1.stp-1/10001.stp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip,-0.0337009351364807,0.0839841381362737,-0.0252426736599563,0,0,0,0.311649201836398,0.000894288403721448,-1.86931737097072E-05,-0.000552441346725497,0.00193927192634162,-1.39299647348827E-05,0.00118542657306169,0,0,0,0,0,0,package://try_again_robot/meshes/left_hip.STL,1,1,1,1,0,0,0,0,0,0,package://try_again_robot/meshes/left_hip.STL,,00-zd_asm.stp-1/000-00_ASM.stp-1/2-0001_ASM.stp-1/ZD_20002.stp-1;00-zd_asm.stp-1/000-00_ASM.stp-1/2-0001_ASM.stp-1/P10-MOTOR.stp-1;00-zd_asm.stp-1/000-00_ASM.stp-1/2-0001_ASM.stp-1/BM_WJ_AA00290_01_80001.stp-1;00-zd_asm.stp-1/000-00_ASM.stp-1/2-0001_ASM.stp-1/BM_WJ_AA00312_01_8-35-M5_X2_570.stp-1;00-zd_asm.stp-1/000-00_ASM.stp-1/2-0001_ASM.stp-1/ZD_0005.stp-1;00-zd_asm.stp-1/000-00_ASM.stp-1/2-0001_ASM.stp-1/ZD_0006.stp-1,left_hip_link,A_left_hip_link,left_hip_joint,revolute,0.0478,0,0.054997,0,0,-1.5708,base_link,0,1,0,100,10,-3.14,3.14,,,,,,,,
left_knee,0.0876432954116847,-0.00538339775047969,-0.0705875998677991,0,0,0,0.148901480434773,0.000277361807488212,-4.63625485750424E-05,0.000391952499837316,0.00102767796016671,2.56112172699695E-05,0.000774130812953244,0,0,0,0,0,0,package://try_again_robot/meshes/left_knee.STL,1,1,1,1,0,0,0,0,0,0,package://try_again_robot/meshes/left_knee.STL,,00-zd_asm.stp-1/000-00_ASM.stp-1/0003_ASM.stp-1/ZD_0007.stp-1;00-zd_asm.stp-1/000-00_ASM.stp-1/0003_ASM.stp-1/_0001.stp-1,left_knee_link,A_left_knee_link,left_knee_joint,revolute,-0.15051,0.11148,-0.1317,0,0,0,left_hip,0,1,0,100,10,-3.14,3.14,,,,,,,,
left_wheel,0.000498221004585771,0.0219632112478564,-0.000371886892005541,0,0,0,0.705413824645244,0.00141603665507247,-6.27573927704458E-08,-3.36431436821337E-09,0.00272645997584728,9.03863775474436E-08,0.00141604424569879,0,0,0,0,0,0,package://try_again_robot/meshes/left_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://try_again_robot/meshes/left_wheel.STL,,00-zd_asm.stp-1/000-00_ASM.stp-1/M1505A__00_ASM.stp-1/NONE-2733850_1.stp-1;00-zd_asm.stp-1/000-00_ASM.stp-1/M1505A__00_ASM.stp-1/M1505A_-1-SOLID10001_1.stp-1,left_wheel_link,A_left_wheel_link,left_wheel_joint,revolute,0.16561,0.01866,-0.11101,0,0,0,left_knee,0,1,0,20,30,-3.14,3.14,,,,,,,,
right_hip,-0.0336984975299611,-0.083848616176942,-0.0256462614531766,0,0,0,0.309359025377608,0.000892450511974048,1.87157416405129E-05,-0.00055199175852705,0.00193924941137474,1.39001339379783E-05,0.00118689398595344,0,0,0,0,0,0,package://try_again_robot/meshes/right_hip.STL,1,1,1,1,0,0,0,0,0,0,package://try_again_robot/meshes/right_hip.STL,,00-zd_asm.stp-1/000-00_ASM-1.stp-1/2-0002_ASM.stp-1/ZD_20002.stp-1;00-zd_asm.stp-1/000-00_ASM-1.stp-1/2-0002_ASM.stp-1/ZD_0008.stp-1;00-zd_asm.stp-1/000-00_ASM-1.stp-1/2-0002_ASM.stp-1/ZD_0009.stp-1;00-zd_asm.stp-1/000-00_ASM-1.stp-1/2-0002_ASM.stp-1/P10-MOTOR.stp-1,right_hip_link,A_right_hip_link,right_hip_joint,revolute,-0.0478,0,0.054997,0,0,-1.5708,base_link,0,1,0,100,10,-3.14,3.14,,,,,,,,
right_knee,0.0877515588984309,-0.00240649787444708,-0.0700675656000752,0,0,0,0.149174408983867,0.000275424552347997,4.66539524973228E-05,0.000391858583510834,0.00103212548072994,-2.55346591333989E-05,0.000780542902214557,0,0,0,0,0,0,package://try_again_robot/meshes/right_knee.STL,1,1,1,1,0,0,0,0,0,0,package://try_again_robot/meshes/right_knee.STL,,00-zd_asm.stp-1/000-00_ASM-1.stp-1/0007_ASM.stp-1/ZD_0010.stp-1;00-zd_asm.stp-1/000-00_ASM-1.stp-1/0007_ASM.stp-1/_0002.stp-1,right_knee_link,A_right_knee_link,right_knee_joint,revolute,-0.15071,-0.10364,-0.13147,0,0,0,right_hip,0,1,0,100,10,-3.14,3.14,,,,,,,,
right_wheel,0.000578154608412845,-0.0304632112662762,-0.000437808276582741,0,0,0,0.705413824645415,0.00141604115305179,9.80291405572685E-08,5.02288564608517E-09,0.00272645997583667,5.01322240513281E-08,0.00141603974773157,0,0,0,0,0,0,package://try_again_robot/meshes/right_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://try_again_robot/meshes/right_wheel.STL,,00-zd_asm.stp-1/000-00_ASM-1.stp-1/M1505A__00_ASM.stp-1/NONE-2733850_1.stp-1;00-zd_asm.stp-1/000-00_ASM-1.stp-1/M1505A__00_ASM.stp-1/M1505A_-1-SOLID10001_1.stp-1,right_wheel_link,A_right_wheel_link,right_wheel_joint,revolute,0.16601,-0.01796,-0.11022,0,0,0,right_knee,0,1,0,20,30,-3.14,3.14,,,,,,,,
