Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.02817,-0.0049865,0.16853,0,0,0,1.1571,0.0040566,5.7064E-07,5.4756E-05,0.0079103,-3.0135E-06,0.0069229,0,0,0,0,0,0,package://diablo_plus_pro/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://diablo_plus_pro/meshes/base_link.STL,,diablo_plus_pro.stp-1/00_ASM-1.stp-1/00_ASM-2.stp-1/ZD_001.stp-1;diablo_plus_pro.stp-1/00_ASM-1.stp-1/00_ASM-2.stp-1/ZD_00-5.stp-1;diablo_plus_pro.stp-1/00_ASM-1.stp-1/00_ASM-2.stp-1/ZD_00.stp-1;diablo_plus_pro.stp-1/00_ASM-1.stp-1/00_ASM-2.stp-1/001.stp-1;diablo_plus_pro.stp-1/00_ASM-1.stp-1/001_ASM.stp-1/ZD-0001.stp-1;diablo_plus_pro.stp-1/00_ASM-1.stp-1/00_ASM-2.stp-1/ZD_00-4.stp-1;diablo_plus_pro.stp-1/00_ASM-1.stp-1/00_ASM-2.stp-1/ZD_00-3.stp-1;diablo_plus_pro.stp-1/00_ASM-1.stp-1/10001.stp-1;diablo_plus_pro.stp-1/00_ASM.stp-1/ZD_0001.stp-1;diablo_plus_pro.stp-1/000-00_ASM-1.stp-1/1-0002_ASM.stp-1/ZD_20001.stp-1;diablo_plus_pro.stp-1/000-00_ASM-1.stp-1/1-0002_ASM.stp-1/ZD_0004.stp-1;diablo_plus_pro.stp-1/000-00_ASM.stp-1/1-0001_ASM.stp-1/ZD_20001.stp-1;diablo_plus_pro.stp-1/000-00_ASM.stp-1/1-0001_ASM.stp-1/ZD_0004.stp-1;diablo_plus_pro.stp-1/00_ASM.stp-1/ZD_0002.stp-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_link,-0.02147,0.083955,-0.036946,0,0,0,0.3065,0.0013306,-1.1868E-05,-0.00049155,0.0019392,-2.0065E-05,0.00074838,0,0,0,0,0,0,package://diablo_plus_pro/meshes/left_hip_link.STL,1,1,1,1,0,0,0,0,0,0,package://diablo_plus_pro/meshes/left_hip_link.STL,,diablo_plus_pro.stp-1/000-00_ASM.stp-1/2-0001_ASM.stp-1/ZD_0005.stp-1;diablo_plus_pro.stp-1/000-00_ASM.stp-1/2-0001_ASM.stp-1/ZD_0006.stp-1;diablo_plus_pro.stp-1/000-00_ASM.stp-1/2-0001_ASM.stp-1/ZD_20002.stp-1,left_hip_link,A_left_hip_link,left_hip_joint,revolute,0,0.0428,0.075997,0,0,0,base_link,0,1,0,100,10,-3.14,3.14,,,,,,,,
left_knee_link,0.091371,-0.0059746,0.042483,0,0,0,0.15473,0.00041408,-4.7228E-05,-0.00048131,0.0011175,-3.4446E-05,0.00072925,0,0,0,0,0,0,package://diablo_plus_pro/meshes/left_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://diablo_plus_pro/meshes/left_knee_link.STL,,diablo_plus_pro.stp-1/000-00_ASM.stp-1/0003_ASM.stp-1/ZD_0007.stp-1;diablo_plus_pro.stp-1/000-00_ASM.stp-1/0003_ASM.stp-1/000.stp-1;diablo_plus_pro.stp-1/000-00_ASM.stp-1/0003_ASM.stp-1/_0001.stp-1,left_knee_link,A_left_knee_link,left_knee_joint,revolute,-0.088027,0.11148,-0.17958,0,0,0,left_hip_link,0,1,0,100,10,-3.14,3.14,,,,,,,,
left_wheel_link,-2.0379E-06,0.019153,-4.2928E-07,0,0,0,2.0028,0.013847,-1.0562E-07,4.372E-10,0.027351,-3.2677E-08,0.013847,0,0,0,0,0,0,package://diablo_plus_pro/meshes/left_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://diablo_plus_pro/meshes/left_wheel_link.STL,,diablo_plus_pro.stp-1/000-00_ASM.stp-1/M1505A__00_ASM.stp-1/NONE-2733850_1.stp-1;diablo_plus_pro.stp-1/000-00_ASM.stp-1/M1505A__00_ASM.stp-1/M1505A_-1-SOLID10001_1.stp-1,left_wheel_link,A_left_wheel_link,left_wheel_joint,revolute,0.17064,0.02266,0.10432,0,0,0,left_knee_link,0,1,0,20,30,0,0,,,,,,,,
right_hip_link,-0.02147,-0.083955,-0.036946,0,0,0,0.3065,0.0013307,1.1872E-05,-0.00049152,0.0019392,2.0063E-05,0.00074836,0,0,0,0,0,0,package://diablo_plus_pro/meshes/right_hip_link.STL,1,1,1,1,0,0,0,0,0,0,package://diablo_plus_pro/meshes/right_hip_link.STL,,diablo_plus_pro.stp-1/000-00_ASM-1.stp-1/2-0002_ASM.stp-1/ZD_20002.stp-1;diablo_plus_pro.stp-1/000-00_ASM-1.stp-1/2-0002_ASM.stp-1/ZD_0009.stp-1;diablo_plus_pro.stp-1/000-00_ASM-1.stp-1/2-0002_ASM.stp-1/ZD_0008.stp-1,right_hip_link,A_right_hip_link,right_hip_joint,revolute,0,-0.0528,0.075997,0,0,0,base_link,0,1,0,100,10,-3.14,3.14,,,,,,,,
right_knee_link,0.091173,-0.0018038,0.042402,0,0,0,0.155,0.00041464,4.7404E-05,-0.00048266,0.0011214,3.4517E-05,0.0007326,0,0,0,0,0,0,package://diablo_plus_pro/meshes/right_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://diablo_plus_pro/meshes/right_knee_link.STL,,diablo_plus_pro.stp-1/000-00_ASM-1.stp-1/0007_ASM.stp-1/ZD_0010.stp-1;diablo_plus_pro.stp-1/000-00_ASM-1.stp-1/0007_ASM.stp-1/000.stp-1;diablo_plus_pro.stp-1/000-00_ASM-1.stp-1/0007_ASM.stp-1/_0002.stp-1,right_knee_link,A_right_knee_link,right_knee_joint,revolute,-0.088029,-0.10364,-0.17958,0,0,0,right_hip_link,0,1,0,100,10,-3.14,3.14,,,,,,,,
right_wheel_link,7.6456E-08,-0.019153,-2.0799E-06,0,0,0,2.0028,0.013847,4.8112E-09,-1.9773E-09,0.027351,1.0933E-07,0.013847,0,0,0,0,0,0,package://diablo_plus_pro/meshes/right_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://diablo_plus_pro/meshes/right_wheel_link.STL,,diablo_plus_pro.stp-1/000-00_ASM-1.stp-1/M1505A__00_ASM.stp-1/NONE-2733850_1.stp-1;diablo_plus_pro.stp-1/000-00_ASM-1.stp-1/M1505A__00_ASM.stp-1/M1505A_-1-SOLID10001_1.stp-1,right_wheel_link,A_right_wheel_link,right_wheel_joint,revolute,0.17064,-0.03046,0.10432,0,0,0,right_knee_link,0,1,0,20,30,0,0,,,,,,,,
